binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,duplicate_2,multicollinearity 3,multicollinearity 1,duplicate_1,random label num 13,random choice 7,random choice 2,correlated w target 1,target,outliers 2,outliers 1,correlated w target 2,pd qcut3,pd qcut1,uniform corr 1,multicollinearity 4,multicollinearity 2,uniform corr 2,corr_feature_class,class,scaling_combined,random choice 4_North,random choice 4_South,random choice 4_West,random label num 4_label num lo 2,random label num 4_label num lo 3,random label num 4_label num lo 4,semi_constant_2_q_const_0_1,semi_constant_2_q_const_0_2,pd qcut2_Q2,pd qcut2_Q3,pd qcut2_Q4,semi_constant_1_q_const_0_1,semi_constant_1_q_const_0_2
0,0.003,0.001,0.502,0.001,0.001,0.001,0.001,0.01,0.001,-0.6638599972813359,-2.5713622658874686,1.039706702773471,-0.9991017824896424,0.179,0.14,0,0.4676045952654056,-0.9042236742875387,-2.9685069356555225,2.4646533428941666,-3.783645233936344,0.1,0,0.0001838701683668968,-2.5679981374763465,0.463039066275812,0.8099675896076193,-7.287861726259381,1.0,22164.96684835043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.008,0.123,0.502,0.001,0.001,0.001,0.001,0.016,0.001,1.153596854135379,0.3279237816590478,1.056546961654515,1.2466861830450993,0.063,0.116,0,-7.985999343676196,2.324369783092482,5.76646294480567,-0.259902218472838,2.6046983544256035,0.095,1,0.0001838701683668968,0.44653019102302755,0.6381346034545526,0.9720495215305227,0.5000066128233525,1.0,43098.647625871374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.069,0.006,0.001,0.001,0.001,0.301,0.136,0.332,0.396,0.8593974662590766,-0.025864151029613182,-0.05886421164595946,0.9627768269601935,0.072,0.253,0,-7.985999343676196,1.7782165547025084,0.555405059335532,-5.217628580497123,2.5954680530901113,0.606,1,0.49671877272283504,-0.30379134869559005,-3.256640682350184,0.26911263215742515,1.9698335219397716,1.0,66379.17371113626,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.332,0.001,2.0336452879154674,-2.8717892917048373,-0.03369604869909655,-2.9574409509433037,0.07,0.253,1,1.8091039220144425,5.451234575139656,-2.9685069356555225,0.5809669383895483,1.3396900805633205,0.606,1,0.9684059594005806,2.797418886229933,-3.256640682350184,0.9775019945475244,5.7253629069791865,1.0,22164.96684835043,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.069,0.001,0.502,0.001,0.001,0.001,0.001,0.009,0.396,1.05944863351561,-2.8717892917048373,-0.33186807726165996,1.1411652716579705,0.072,0.128,1,-2.7893229445634176,2.1539258469951807,2.1642808864364182,-1.8046797931472798,4.357920245893122,0.606,1,0.0001838701683668968,-0.5328665374914896,-3.256640682350184,0.8452831007161883,4.051643976710867,1.0,22164.96684835043,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.006,0.001,0.001,0.001,0.001,0.001,0.001,0.332,0.001,2.399635889224372,-0.9529487980288079,0.3497909645616251,2.485477863898728,0.056,0.128,0,-7.985999343676196,4.626787069235546,-2.9685069356555225,0.636675333475502,4.945839727991663,0.606,1,0.9715429939054507,-1.6361763804376215,-0.5251148753821331,0.9098877898610209,3.610891774885702,1.0,22164.96684835043,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.003,0.006,0.502,0.001,0.001,0.301,0.001,0.017,0.001,-0.747560845179044,-1.2014072943554093,-3.2675869621870186,-0.6479636736717482,0.072,0.117,0,0.09872976902334557,-1.187224231921867,-2.9685069356555225,-0.2895889930034646,-1.9386165829583413,0.102,0,0.8624637950139509,-1.4644069991446171,-3.256640682350184,0.33285644799459946,1.6205360212625521,0.0,51718.86712583623,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.002,0.004,0.001,0.001,0.001,0.301,0.001,0.008,0.396,-0.8182224427035356,2.3905332437018285,-1.1027846502945244,-0.8922328125534437,0.179,0.14,0,-2.2403899402902923,-1.266374292198878,4.854635518663722,-1.1343309244267707,-0.273419079573206,0.606,0,0.0001838701683668968,1.3053226769956296,-3.256640682350184,0.5556186677744441,3.859188105340718,0.0,22164.96684835043,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.006,0.001,0.502,0.001,0.001,0.001,0.001,0.332,0.001,-0.09154666780661158,1.3240602035960414,-3.2675869621870186,-0.7273359834485558,0.179,0.117,0,-7.985999343676196,0.24111056261580832,3.122133085775937,-0.7571097405463761,-0.42347284459032397,0.606,1,0.12983125471999407,0.7805590700331988,-3.256640682350184,0.5197582327799692,1.4308460442421662,0.0,46937.64606931966,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.005,0.018,0.502,0.001,0.001,0.301,0.001,0.007,0.001,-1.8069333466532713,-1.6009625292686782,1.408292332184567,0.9753643211025785,0.062,0.14,0,-2.3476650918031137,-3.935564389564147,2.068118331694395,0.7137632197296753,-2.012165299412599,0.051,0,0.0001838701683668968,-0.8714652476994716,0.8015606581284374,0.001013470094522095,-3.9016479001627555,0.0,52302.528043283455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
